Título;Rendimento anual do título;Preço unitário de resgate;Vencimento do Título
Tesouro Selic 2027;SELIC + 0,0182%;R$ 19.076,62;01/03/2027
Tesouro Selic 2028;SELIC + 0,0304%;R$ 19.069,05;01/03/2028
Tesouro Selic 2029;SELIC + 0,0565%;R$ 19.049,72;01/03/2029
Tesouro Selic 2031;SELIC + 0,0875%;R$ 19.000,47;01/03/2031
Tesouro Prefixado com Juros Semestrais 2027;14,02%;R$ 1.017,18;01/01/2027
Tesouro Prefixado 2027;13,94%;R$ 924,30;01/01/2027
Tesouro Prefixado 2028;13,80%;R$ 813,23;01/01/2028
Tesouro Prefixado com Juros Semestrais 2029;13,90%;R$ 961,80;01/01/2029
Tesouro Prefixado 2029;13,89%;R$ 714,62;01/01/2029
Tesouro Prefixado com Juros Semestrais 2031;14,12%;R$ 911,68;01/01/2031
Tesouro Prefixado 2031;14,04%;R$ 548,48;01/01/2031
Tesouro Prefixado 2032;14,13%;R$ 478,85;01/01/2032
Tesouro Prefixado com Juros Semestrais 2033;14,21%;R$ 872,40;01/01/2033
Tesouro Prefixado com Juros Semestrais 2035;14,21%;R$ 845,13;01/01/2035
Tesouro Prefixado com Juros Semestrais 2037;14,21%;R$ 823,80;01/01/2037
Tesouro IPCA+ 2026;IPCA + 10,50%;R$ 4.605,82;15/08/2026
Tesouro IPCA+ com Juros Semestrais 2026;IPCA + 10,50%;R$ 4.741,99;15/08/2026
Tesouro IPCA+ 2029;IPCA + 7,97%;R$ 3.760,35;15/05/2029
Tesouro IPCA+ com Juros Semestrais 2030;IPCA + 8,01%;R$ 4.475,11;15/08/2030
Tesouro IPCA+ 2032;IPCA + 7,92%;R$ 2.940,16;15/08/2032
Tesouro IPCA+ com Juros Semestrais 2032;IPCA + 7,94%;R$ 4.369,05;15/08/2032
Tesouro IPCA+ 2035;IPCA + 7,78%;R$ 2.417,04;15/05/2035
Tesouro IPCA+ com Juros Semestrais 2035;IPCA + 7,82%;R$ 4.203,68;15/05/2035
Tesouro IPCA+ com Juros Semestrais 2037;IPCA + 7,71%;R$ 4.161,93;15/05/2037
Tesouro IPCA+ 2040;IPCA + 7,49%;R$ 1.696,40;15/08/2040
Tesouro IPCA+ com Juros Semestrais 2040;IPCA + 7,60%;R$ 4.171,90;15/08/2040
Tesouro IPCA+ 2045;IPCA + 7,39%;R$ 1.228,56;15/05/2045
Tesouro IPCA+ com Juros Semestrais 2045;IPCA + 7,52%;R$ 4.038,01;15/05/2045
Tesouro IPCA+ 2050;IPCA + 7,21%;R$ 881,77;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2050;IPCA + 7,42%;R$ 4.077,85;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2055;IPCA + 7,42%;R$ 3.965,27;15/05/2055
Tesouro IPCA+ com Juros Semestrais 2060;IPCA + 7,42%;R$ 3.999,01;15/08/2060
Tesouro Renda+ Aposentadoria Extra 2030;IPCA + 7,56%;R$ 1.917,83;15/12/2049
Tesouro Renda+ Aposentadoria Extra 2035;IPCA + 7,41%;R$ 1.365,60;15/12/2054
Tesouro Renda+ Aposentadoria Extra 2040;IPCA + 7,32%;R$ 974,37;15/12/2059
Tesouro Renda+ Aposentadoria Extra 2045;IPCA + 7,26%;R$ 696,10;15/12/2064
Tesouro Renda+ Aposentadoria Extra 2050;IPCA + 7,24%;R$ 494,23;15/12/2069
Tesouro Renda+ Aposentadoria Extra 2055;IPCA + 7,25%;R$ 348,01;15/12/2074
Tesouro Renda+ Aposentadoria Extra 2060;IPCA + 7,25%;R$ 245,74;15/12/2079
Tesouro Renda+ Aposentadoria Extra 2065;IPCA + 7,25%;R$ 173,55;15/12/2084
Tesouro Educa+ 2026;IPCA + 8,06%;R$ 3.635,88;15/12/2030
Tesouro Educa+ 2027;IPCA + 8,01%;R$ 3.740,82;15/12/2031
Tesouro Educa+ 2028;IPCA + 7,97%;R$ 3.469,97;15/12/2032
Tesouro Educa+ 2029;IPCA + 7,95%;R$ 3.218,25;15/12/2033
Tesouro Educa+ 2030;IPCA + 7,91%;R$ 2.988,57;15/12/2034
Tesouro Educa+ 2031;IPCA + 7,87%;R$ 2.777,48;15/12/2035
Tesouro Educa+ 2032;IPCA + 7,82%;R$ 2.585,29;15/12/2036
Tesouro Educa+ 2033;IPCA + 7,76%;R$ 2.410,80;15/12/2037
Tesouro Educa+ 2034;IPCA + 7,70%;R$ 2.250,99;15/12/2038
Tesouro Educa+ 2035;IPCA + 7,64%;R$ 2.104,07;15/12/2039
Tesouro Educa+ 2036;IPCA + 7,59%;R$ 1.966,29;15/12/2040
Tesouro Educa+ 2037;IPCA + 7,54%;R$ 1.839,16;15/12/2041
Tesouro Educa+ 2038;IPCA + 7,51%;R$ 1.717,44;15/12/2042
Tesouro Educa+ 2039;IPCA + 7,47%;R$ 1.606,74;15/12/2043
Tesouro Educa+ 2040;IPCA + 7,45%;R$ 1.499,97;15/12/2044
Tesouro Educa+ 2041;IPCA + 7,42%;R$ 1.403,13;15/12/2045
Tesouro Educa+ 2042;IPCA + 7,40%;R$ 1.311,19;15/12/2046
Tesouro Educa+ 2043;IPCA + 7,37%;R$ 1.227,97;15/12/2047
Tesouro Educa+ 2044;IPCA + 7,34%;R$ 1.150,68;15/12/2048
Tesouro IGPM+ com Juros Semestrais 2031;IGP-M + 8,13%;R$ 7.933,71;01/01/2031
Tesouro Reserva 2036;SELIC;R$ 10,549183;01/01/2036
